상품명,가격,주소
LG전자 휘센 FQ17HDKHC2,1518990,https://cr.shopping.naver.com/adcr.nhn?x=4%2F5wTELmnrPlKY%2FCe%2FPKVf%2F%2F%2Fw%3D%3DsV3r4t5JZjCOYgoBminlnZyVSf1eO4jfmXMdUPSLlAd15Nb%2FqHrOCIhraexeqUnBvxbPyAnKz5lRjUloNaKrTuf7QJoFu%2B%2B0Py0iQ%2F%2BB%2FipUHHLfjeY4sudmGRoIUHlv2oikoJADgNYR0Kn1uXTwqP8v%2BjB2erv%2BZ%2Brrs5VHOiTQgGE7%2BZatKjf5hEf1XctkKnSx7gsb3znLLUZR5%2Byl76z2u%2Bz5jjQN2pEbS88jn8TkaguCNQSBEWrJ4lagWAa%2BpINJO0cBUUOEf95BYgHLHSkPg%2F6PYJW9LpCSumzPJoigK7CtQzZWLlur1%2FFge4%2BEpl8vp9LKKiq3kG3WynMprFMqVTQPH88BQ6a189W2RF2zt1oHEn3njj1OmmRAaVdcBFz0fwArwTyAGf01p3v0TeUojX3g7fJUZGRMAq7k1lOeUhHs0%2FvOQKJymEHAO6MX%2B9jdE%2BRLlfwnfduly3izvT9yGsvJ8RnufSZW639n85QCmvcUewDs7WiIvdvwG42u2wtIYh35n85gCNF9XAudNitgCgu8TH6IETI9IR%2BJIKXdFpNyqrVwT%2FabqXgyw7RRp5Hv1T%2FoDPeAT2ZD%2BWCfnsQ%3D%3D&nvMid=39625686619&catId=50002523
LG전자 휘센 FQ17HDKHC1,888000,https://cr.shopping.naver.com/adcr.nhn?x=obP3QkCh8%2B4s1MDxwjk30v%2F%2F%2Fw%3D%3DsQ0N4Vij1yM8DZN2Yt6sxyF3Br52GetAZJviR%2BqZUFDh5Nb%2FqHrOCIhraexeqUnBvYqRWLPf%2BsWjUyITYCUFwNf7QJoFu%2B%2B0Py0iQ%2F%2BB%2FipUHHLfjeY4sudmGRoIUHlv2oikoJADgNYR0Kn1uXTwqP8v%2BjB2erv%2BZ%2Brrs5VHOiTQgGE7%2BZatKjf5hEf1XctkKUHWVdxhpHck5fiq7bgNYBj2u%2Bz5jjQN2pEbS88jn8TkaguCNQSBEWrJ4lagWAa%2BpINJO0cBUUOEf95BYgHLHSkPg%2F6PYJW9LpCSumzPJoigK7CtQzZWLlur1%2FFge4%2BEpDZeli%2BMKzT2%2BcuWySD2VKGuze7Xynw1HKTiTwqLW8n3t1oHEn3njj1OmmRAaVdcBcftGy%2FEmJRrM7B%2Fu8jTNct1woZLwre%2F0c6LfC8XQvOaUhHs0%2FvOQKJymEHAO6MX%2BrDAWv0lIq55BExSgJ1PwFxlnifE7ZUZoYaIYA41%2B501EuXMhv1vSNqQ20b3oeFEvT%2BDzDxwp7nT02YxkVA94lBzjTcXwoVM8lrhL6igy83I5m%2BSxkfZThZmlx7nB9ynkxyAhEKTy%2B0Zvtn8oYxIR0Q%3D%3D&nvMid=39626308618&catId=50002521
LG전자 휘센 FQ17HDTHC2,2266350,https://cr.shopping.naver.com/adcr.nhn?x=iUK4s7%2Bmw%2BaagRHUdWJn7v%2F%2F%2Fw%3D%3DsLDNu2csMJDQBdXxhjGWDvi85pbR%2FmxhFKQXjEjNEb1gHQiQ2dwXuhtVtEquaxbW3eH9ZWBvfZpjOcggrB0WYfaNtMwCDNhsLdcuI%2FMi1JzZGYSqXO4LoKjntWLTRbgBfhSz5Y6TTLdKssreSfwV%2FzlVd6Z%2BmZ5fvTALbBBPmfKJxs%2B%2BkVhtVN4T3i6U6hJI6IXB1wygVjUDcZMapfJ5ZkNJjGFrPrseCpc%2FR2XpFP%2FkmaMaTQIKCPu2UnZWt5WfR7rNm5GDbb84wCB4v7qvvZsOmY27ZGze0Q%2BtXRlM4OxtarJoVrbEtunAYIkKGowOqNufQipmAV8dHaroqajypPSEhb%2B5%2BbgCLWD5ufmjwVaDfI59TQ1Z1kyasCjkpZVY5cNLDTEa0IsfMKj%2BM7QW1c6AhfbmRc6T9Q91MqoVII6oE4gQIgqNJZrP93g1b0ws76zk%2BVuQX333YHI1bMmufo6Y3e8I6JLdpvEbXQL8XBDjgNCQNPAkbk6wdHOXkoT0GAYTYOqTv%2FsOm0kcFv3bjpEqpVVqYBM%2F7vgBGppBfrv7TIfcuZMfi5dIv1saG9Le1aGimR4pR27mrh1IoDTOSgA%3D%3D&nvMid=40501916618&catId=50002523
캐리어 APQ09IKA,335990,https://cr.shopping.naver.com/adcr.nhn?x=aGMnoIvnwV%2FN2LMBtV%2FbRf%2F%2F%2Fw%3D%3DssYT8eeRy7lyeNHtuQGnEvbDU4SNIZwniLYAdkiHYlBV5Nb%2FqHrOCIhraexeqUnBv3vcFpxVkzIlZYD6CWnWMn%2F7QJoFu%2B%2B0Py0iQ%2F%2BB%2FipUHHLfjeY4sudmGRoIUHlv2oikoJADgNYR0Kn1uXTwqP8v%2BjB2erv%2BZ%2Brrs5VHOiTQgGE7%2BZatKjf5hEf1XctkK3Zjr5SdyKYI95i5EX5b1FT2u%2Bz5jjQN2pEbS88jn8TkaguCNQSBEWrJ4lagWAa%2BpINJO0cBUUOEf95BYgHLHSkPg%2F6PYJW9LpCSumzPJoigK7CtQzZWLlur1%2FFge4%2BEpTqvWfzzYiR2DasHBZjPAyXTU%2FviOnWHCNIyQi35ye9Pt1oHEn3njj1OmmRAaVdcBYzncLaMaAb%2B2iP%2Fh0gkXdz6FURihOvVNK6%2BarovFEXalnwRfu0YPS9tPb90F7Y5%2BDXtH2H0zrXsZOS%2Bh2eVbwH3zMU4NdkncklsbHXJzf9OjtDSZchsq5G0GOX2hEAsOAYTYOqTv%2FsOm0kcFv3bjpICFimD2OaW9e6s2oWfVT3jU4TEfJU1fPzVE11l0YiuUaGimR4pR27mrh1IoDTOSgA%3D%3D&nvMid=20159080003&catId=50002527
한솔일렉트로닉스 한솔 HSE-SP2100K,548000,https://cr.shopping.naver.com/adcr.nhn?x=4%2BFAT6RdFqvR2Y0Ig0fXLf%2F%2F%2Fw%3D%3Dsy32pfB30AlxSB3bdiz4m2OesYM07ox5f4%2FDK9WIUBUB5Nb%2FqHrOCIhraexeqUnBv5djFfdUX8rxYb7E8Vhy3i%2F7QJoFu%2B%2B0Py0iQ%2F%2BB%2FipUHHLfjeY4sudmGRoIUHlv2oikoJADgNYR0Kn1uXTwqP8v%2BjB2erv%2BZ%2Brrs5VHOiTQgGE7%2BZatKjf5hEf1XctkKRr1qER%2B8hBD7oK63Tiom3z2u%2Bz5jjQN2pEbS88jn8TkaguCNQSBEWrJ4lagWAa%2BpINJO0cBUUOEf95BYgHLHSkPg%2F6PYJW9LpCSumzPJoigK7CtQzZWLlur1%2FFge4%2BEpsvNRtIKEu48Umlxxtp99%2BfuUS68QN7QopO3bQ%2FhpqpXt1oHEn3njj1OmmRAaVdcBYe%2Fs3hwrYedZ2FLdjQhJO7L%2BD79JFqXUHChswIKAa5eeDBAA5XxZYOkMMO2x6ejhg6KmbPD3IGwfecU9mfFBV9yhkSi9jvthesv7SoV9EEhojJxTEFtseGy3MoKj7ov%2BwtIYh35n85gCNF9XAudNih2Ev33u%2BSM2oPZbZjDMxv%2BowFYfqEtdVTekeGkLWp6u5Hv1T%2FoDPeAT2ZD%2BWCfnsQ%3D%3D&nvMid=27699543522&catId=50002527
LG전자 휘센 PQ07DDWCS1,620282,https://cr.shopping.naver.com/adcr.nhn?x=bcTtANDR3SfdtsoWIYQCaf%2F%2F%2Fw%3D%3DsxwB%2BH1vkF8T4t5bhe0wD6NmVzC0N3mNhz3ATMPkyzdgHQiQ2dwXuhtVtEquaxbW3a%2FADvAWfGY8SZqZQQ7J7cqNtMwCDNhsLdcuI%2FMi1JzZGYSqXO4LoKjntWLTRbgBfhSz5Y6TTLdKssreSfwV%2FzlVd6Z%2BmZ5fvTALbBBPmfKINOQYhsglml8zWdPkvk90Jm%2BzB3bT0BNH4UZ8y8Y0%2BltJjGFrPrseCpc%2FR2XpFP%2FkmaMaTQIKCPu2UnZWt5WfR7rNm5GDbb84wCB4v7qvvZsOmY27ZGze0Q%2BtXRlM4OxtarJoVrbEtunAYIkKGowOqKgWuywlP%2BvVLivod65v0BiEhb%2B5%2BbgCLWD5ufmjwVaBk6WR1q3EeBuhKv3EuBDGW4mxwqZH%2FUJ%2BTzU6JofpY1aAhfbmRc6T9Q91MqoVII6o4p4C%2BbSyVsMD3o4%2FpI0GPKh5751R2uZOeot9xLpejE8V0MgK7IwwhdDa%2BfXpHu%2B9KFbplk3xMnDYficouEnuUnUpTzmQTeleeE0y%2Brv8xbL2V5%2B7Y2IPe41Oy%2FG7sZm49tUePedkwTUz2aj5IWNpVy1Vhq%2FH77x9Zlr1IFzyuow%3D%3D&nvMid=39626358618&catId=50002527
LG전자 휘센 SQ06EA1WCS,551360,https://cr.shopping.naver.com/adcr.nhn?x=4ghYIDj9fAB2qOSdsOL%2BXf%2F%2F%2Fw%3D%3DsNLnh3DtNJOIsptE%2B5ICaSbMbafzM2V%2FzgJTJUIcrP4R5Nb%2FqHrOCIhraexeqUnBvncpuMjxyaXe0%2BOPiRM%2BGh%2F7QJoFu%2B%2B0Py0iQ%2F%2BB%2FipUHHLfjeY4sudmGRoIUHlv2oikoJADgNYR0Kn1uXTwqP8v%2BjB2erv%2BZ%2Brrs5VHOiTQgGE7%2BZatKjf5hEf1XctkK6MG%2BHCIXQFo5o1Gicd4kxz2u%2Bz5jjQN2pEbS88jn8TkaguCNQSBEWrJ4lagWAa%2BpINJO0cBUUOEf95BYgHLHSkPg%2F6PYJW9LpCSumzPJoigK7CtQzZWLlur1%2FFge4%2BEp2Mz%2B%2ByuSH1mFWS6EfAlyRpO%2FZHfw8y5T72RkNuXQ833t1oHEn3njj1OmmRAaVdcBTwJ%2FRNnzETsq2u%2BO%2BQOL191woZLwre%2F0c6LfC8XQvOZ0K8frJ2LZNSeisIwhVADSP%2FNDU6DUivSynqflkmZJ%2FnopAOUqEeyu3VVfT2Xj3Q5m%2FFsEz%2BG%2FF6G6pAvfTghyT%2BDzDxwp7nT02YxkVA94lImk%2Ff%2Bg5tlHg02iMDwXie3x6Y8t36fDcQs2YMpEHg3YxyAhEKTy%2B0Zvtn8oYxIR0Q%3D%3D&nvMid=45853173618&catId=50002522
삼성전자 무풍클래식 AF17B7538TZRS,1839000,https://cr.shopping.naver.com/adcr.nhn?x=f5KiZjg%2BqHQLozMjc2JR%2Fv%2F%2F%2Fw%3D%3Dsxe4XzONvTr%2FQ%2FbQPQjo7cKR0YmuNVu3wzQnjj9mcNrMHQiQ2dwXuhtVtEquaxbW3R%2BtM%2BKtVhoMo0Itsl2dc%2FKNtMwCDNhsLdcuI%2FMi1JzZGYSqXO4LoKjntWLTRbgBfhSz5Y6TTLdKssreSfwV%2FzlVd6Z%2BmZ5fvTALbBBPmfKJ6LYABWm6lRkxVNeHofoG1X%2B5%2BIAU1YyJcZ153i1KjYtJjGFrPrseCpc%2FR2XpFP%2FkmaMaTQIKCPu2UnZWt5WfR7rNm5GDbb84wCB4v7qvvZsOmY27ZGze0Q%2BtXRlM4OxtarJoVrbEtunAYIkKGowOqve3WBm%2BwmImPiVMff3k2MyEhb%2B5%2BbgCLWD5ufmjwVaDfI59TQ1Z1kyasCjkpZVY5ODmBzYdNjH9LpTWq2NWy8qAhfbmRc6T9Q91MqoVII6r7qXr%2FnALWwiFFFTuH33JsfJVSCJyfw4hDMSoSsuFg0%2BcDolQiXB6GLqdBydQFstMqVEQGCQ7Rim4o63%2B09JiewtIYh35n85gCNF9XAudNirSGO7WtzQiS7AuYBFVphXVoqSRhp1xjrOeAdTnPLwkB5Hv1T%2FoDPeAT2ZD%2BWCfnsQ%3D%3D&nvMid=31910105621&catId=50002523
보국전자 BKPF-18R03AC,289000,https://cr.shopping.naver.com/adcr.nhn?x=%2Bu6TDpJN75h%2FRaKuihb3Lv%2F%2F%2Fw%3D%3DsSWzxKOAepSzc%2Bj2KbfqaUYDHx%2FUzW7VmgNRmVueDlRp5Nb%2FqHrOCIhraexeqUnBv9KGmnk1Yjw5XP%2BqoJQC9S%2F7QJoFu%2B%2B0Py0iQ%2F%2BB%2FipUHHLfjeY4sudmGRoIUHlv2oikoJADgNYR0Kn1uXTwqP8v%2BjB2erv%2BZ%2Brrs5VHOiTQgGE7%2BZatKjf5hEf1XctkKriTXD5VW5lMtyL6ld70TVj2u%2Bz5jjQN2pEbS88jn8TkaguCNQSBEWrJ4lagWAa%2BpINJO0cBUUOEf95BYgHLHSkPg%2F6PYJW9LpCSumzPJoigK7CtQzZWLlur1%2FFge4%2BEpKQhwsARXdViLm7EZJoWmXAtGnwEnQNlDajbbDQ2jrXbt1oHEn3njj1OmmRAaVdcBfee%2B4OvrEaKgwXa6RT91sXzEWKIeSL8gCGko0muIXATjCARqce16uKm%2BohkIoW2tVpvgiPqZ0KSw%2BO8S0rF6glKdeK4jj1yf2%2FcJwCzlSBGb%2FTLe7zJvmNMPEHQR1Xw3lMveu5pUmt5mX6mUy4ug6nFc7zhAUer6v38BZsujs8BOQXB366N0T91f1zNAGIOBV3OdHgSE8LoEjTx9zpNPbFaRsOtQUnaEEbxBoHxZXOc%3D&nvMid=14895285001&catId=50002527
삼성전자 삼성 AF17B6474GZS,1169000,https://cr.shopping.naver.com/adcr.nhn?x=%2FdYEShdmR7ecxR0s07H2vv%2F%2F%2Fw%3D%3Dsa8cO3xsGT%2BlFDp0OwI5c1tr%2FDWqticOvN3HoNsTIMer1JW2HyMdZyijeu1OP44pkVyax6H7qqMy2bRC9gSxnabMsMFRTi9EykuyMk8e%2BYOf9iqYIt1NCtZ1v1hCviBiJd6qBoCGKEJHNlqHWrl1UMt9%2BKy%2Fm0d%2BgYWHtEf61Jo5CNclKwvLyA%2Fys%2F%2FHPPajL2IU%2FNJLZ8zi6RVslyyCDScnCX1VRfLhQuQVOop0mV8J0DE0UbQZ1baLtTJj0jPGeog11r%2BFvnzCJTmg%2BAV9HHqsJF1TG8DXvuOXRWh2aiSE1QmeK3ZPITzKHcbEnR%2BI8%2FLA1Y0hDvBgU%2Fr9iAL2jfvtJd3EN%2BV8kSSVgtQQKM%2BtXfqiCwBtPYYwEdSt6i2JAco0PhGOq0wW1o0Y3xCadmIB88q0o0ZNpfpA%2B0%2FtC433RVQ%2B5ab2GAQlWp9AMz7kQug0E5cOz8SxsRnYnqYkm911HlSr2In8j%2FtjTa5yRzgAbdqWWKoNMS3RF9Ux%2Fj3C21XvPa5b1DHXgASa2xfxhe%2FoLRdeTzJJo5DQ5ovPMjEWgRALv%2BlzQkReMe%2BK202WT9FGzZOXYtVfI1DG5rR4ovwau4fTwOUqyF63FjwpQRls%3D&nvMid=31817581620&catId=50002521
